date_time,w_fw_pot,w_wssc_pot,w_wa_gf,w_wa_lf,w_lw_pot,lw_fw,w_fw_occ,w_wssc_pat,disch_lw_pot,w_wa,w_lw_br,w_pot_total,w_pot_total_net
2021-05-01,78.9,90.97,117.63,0,14.82,10.16,74.16,62.57,6.3,117.63,-6.3,302.32,296.02
2021-05-02,81.4,98.555,119.315,0,15.515,10.84,74.17,62.465,6.285847921225383,119.315,-6.285847921225383,314.78499999999997,308.4991520787746
2021-05-03,83.07,102.63,123.14500000000001,0,15.945,11.52,74.11000000000001,59.265,6.193315098468271,123.14500000000001,-6.193315098468271,324.79,318.5966849015318
2021-05-04,77.125,101.45,126.66499999999999,0,15.875,11.52,73.73,55.405,6.088807439824945,126.66499999999999,-6.088807439824945,321.115,315.02619256017505
2021-05-05,72.83000000000001,101.005,127.335,0,15.645,11.52,73.9,54.36,5.984299781181619,127.335,-5.984299781181619,316.815,310.8307002188184
2021-05-06,72.445,94.845,109.69,0,15.34,11.52,73.33500000000001,56.019999999999996,5.8797921225382925,109.69,-5.8797921225382925,292.32,286.4402078774617
2021-05-07,73.83,94.555,108.58500000000001,0,15.05,11.52,71.58000000000001,59.89,5.775284463894967,108.58500000000001,-5.775284463894967,292.02000000000004,286.24471553610505
2021-05-08,66.5,97.14500000000001,123.71000000000001,0,14.765,11.52,70.27000000000001,58.855000000000004,5.6707768052516405,123.71000000000001,-5.6707768052516405,302.12,296.44922319474836
2021-05-09,59.835,93.64500000000001,116.16499999999999,0,15.695,11.52,69.815,53.67,5.566269146608315,116.16499999999999,-5.566269146608315,285.34,279.77373085339167
2021-05-10,73.845,95.86,116.625,0,16.35,11.52,71.5,51.355000000000004,5.4617614879649885,116.625,-5.4617614879649885,302.68,297.21823851203504
2021-05-11,77.08,99.82,124.9,0,16.27,11.52,74.23,51.239999999999995,5.357253829321663,124.9,-5.357253829321663,318.07,312.7127461706783
2021-05-12,77.35,101.83,132.92000000000002,0,16.310000000000002,11.52,74.57,51.03,5.2527461706783365,132.92000000000002,-5.2527461706783365,328.41,323.1572538293217
2021-05-13,79.82,105.095,138.71,0,16.32,11.52,75.395,52.975,5.148238512035011,138.71,-5.148238512035011,339.945,334.796761487965
2021-05-14,82.175,103.64,136.895,0,15.965,11.52,76.525,55.370000000000005,5.0437308533916845,136.895,-5.0437308533916845,338.67499999999995,333.63126914660825
2021-05-15,83.375,103.285,129.48000000000002,0,15.620000000000001,11.52,75.03,54.18,4.939223194748359,129.48000000000002,-4.939223194748359,331.76,326.8207768052516
2021-05-16,79.1,108.22999999999999,124.315,0,16.435,11.52,74.99000000000001,52.825,4.8347155361050325,124.315,-4.8347155361050325,328.08,323.24528446389496
2021-05-17,82.06,111.815,125.28999999999999,0,17.095,11.52,77.67,50.505,4.730207877461707,125.28999999999999,-4.730207877461707,336.26,331.5297921225383
2021-05-18,85.21,111.37,135.895,0,17.125,11.52,80.235,50.675,4.6257002188183804,135.895,-4.6257002188183804,349.6,344.9742997811816
2021-05-19,91.89,112.755,145.565,0,17.235,11.52,85.58,58.26,4.521192560175054,145.565,-4.521192560175054,367.445,362.92380743982494
2021-05-20,96.39500000000001,115.875,141.565,0,17.18,11.52,92.34,64.16499999999999,4.416684901531728,141.565,-4.416684901531728,371.01500000000004,366.59831509846833
2021-05-21,97.89500000000001,117.39500000000001,138.52,0,14.334999999999999,18.244999999999997,98.28999999999999,66.255,4.324152078774617,138.52,-4.324152078774617,368.14500000000004,363.82084792122544
2021-05-22,95.625,117.45500000000001,135.27,0,13.695,18.244999999999997,102.25999999999999,66.49000000000001,4.31,135.27,-4.31,362.045,357.735
2021-05-23,93.50999999999999,123.57500000000002,134.875,0,16.044999999999998,11.52,104.33500000000001,67.035,4.31,134.875,-4.31,368.00500000000005,363.69500000000005
2021-05-24,93.88,116.85000000000001,132.625,0,15.765,11.52,95.075,63.945,4.31,132.625,-4.31,359.12,354.81
2021-05-25,85.42500000000001,52.045,131.25,0,15.735,11.52,76.155,59.4,4.31,131.25,-4.31,284.45500000000004,280.14500000000004
2021-05-26,87.33500000000001,57.34,136.14499999999998,0,15.745000000000001,11.52,74.965,58.705,4.31,136.14499999999998,-4.31,296.565,292.255
2021-05-27,91.095,109.42500000000001,134.69,0,15.094999999999999,11.52,78.545,56.620000000000005,4.31,134.69,-4.31,350.30500000000006,345.99500000000006
2021-05-28,90.11,108.695,131.73000000000002,0,14.559999999999999,11.52,72.995,55.27,4.31,131.73000000000002,-4.31,345.095,340.785
2021-05-29,78.84,115.295,130.185,0,14.45,11.52,70.4,55.27,4.31,130.185,-4.31,338.77,334.46
2021-05-30,60.38,117.75,120.77,0,15.535,11.52,70.315,55.27,4.31,120.77,-4.31,314.435,310.125
2021-05-31,68.58500000000001,109.63,110.52000000000001,0,16.285,11.52,70.695,55.27,4.31,110.52000000000001,-4.31,305.02000000000004,300.71000000000004
2021-06-01,112.675,108.72,104.965,0,17.945,11.52,71.07,55.27,4.31,104.965,-4.31,344.305,339.995
2021-06-02,148.20999999999998,118.045,105.045,0,19.939999999999998,11.52,71.07,55.27,4.31,105.045,-4.31,391.24,386.93
2021-06-03,157.60500000000002,122.025,108.88,0,21.259999999999998,11.52,71.07,55.27,4.31,108.88,-4.31,409.77,405.46
2021-06-04,169.44,128.31,107.27000000000001,0,22.884999999999998,11.52,71.07,55.27,4.31,107.27000000000001,-4.31,427.90500000000003,423.595
2021-06-05,179.385,135.735,103.61,0,24.240000000000002,11.52,71.07,55.27,4.31,103.61,-4.31,442.97,438.66
2021-06-06,190.57999999999998,142.18,109.6,0,26.375,11.52,71.07,55.27,4.31,109.6,-4.31,468.73499999999996,464.42499999999995
2021-06-07,191.09,143.95,119.34,0,27.07,11.52,71.07,55.27,4.31,119.34,-4.31,481.45,477.14
2021-06-08,218.925,160.78,123.14,0,32.44,11.52,71.07,55.27,4.31,123.14,-4.31,535.2850000000001,530.9750000000001
2021-06-09,218.70499999999998,159.35500000000002,123.465,0,32.11,11.52,71.07,55.27,4.31,123.465,-4.31,533.635,529.325
2021-06-10,181.26,136.755,121.07,0,25.095,11.52,71.07,55.27,4.31,121.07,-4.31,464.17999999999995,459.86999999999995
