date,lfalls,date_fc,length_fc
2021-04-20,5971,2021-05-20,-30
2021-04-21,5536,2021-05-20,-29
2021-04-22,5117,2021-05-20,-28
2021-04-23,4751,2021-05-20,-27
2021-04-24,4380,2021-05-20,-26
2021-04-25,4454,2021-05-20,-25
2021-04-26,4519,2021-05-20,-24
2021-04-27,4295,2021-05-20,-23
2021-04-28,4161,2021-05-20,-22
2021-04-29,4184,2021-05-20,-21
2021-04-30,4365,2021-05-20,-20
2021-05-01,4461,2021-05-20,-19
2021-05-02,4307,2021-05-20,-18
2021-05-03,3998,2021-05-20,-17
2021-05-04,3720,2021-05-20,-16
2021-05-05,4138,2021-05-20,-15
2021-05-06,4349,2021-05-20,-14
2021-05-07,4426,2021-05-20,-13
2021-05-08,4904,2021-05-20,-12
2021-05-09,5431,2021-05-20,-11
2021-05-10,5593,2021-05-20,-10
2021-05-11,5780,2021-05-20,-9
2021-05-12,5494,2021-05-20,-8
2021-05-13,4971,2021-05-20,-7
2021-05-14,4597,2021-05-20,-6
2021-05-15,4292,2021-05-20,-5
2021-05-16,3975,2021-05-20,-4
2021-05-17,3672,2021-05-20,-3
2021-05-18,3342,2021-05-20,-2
2021-05-19,3055,2021-05-20,-1
2021-05-20,2791,2021-05-20,0
2021-05-21,2558,2021-05-20,1
2021-05-22,2362,2021-05-20,2
2021-05-23,2208,2021-05-20,3
2021-05-24,2068,2021-05-20,4
2021-05-25,1935,2021-05-20,5
2021-05-26,1809,2021-05-20,6
2021-05-27,1693,2021-05-20,7
2021-05-28,1589,2021-05-20,8
2021-05-29,1495,2021-05-20,9
2021-05-30,1401,2021-05-20,10
2021-05-31,1323,2021-05-20,11
2021-06-01,1400,2021-05-20,12
2021-06-02,10267,2021-05-20,13
